game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
29700673,78,17,41,10,26,7,122,89,12,36,16,26,14,115,12
21300332,89,21,24,11,27,1,101,100,14,18,18,26,18,99,28
29600263,82,26,29,8,33,2,123,92,28,36,21,19,15,108,11
21701173,86,36,19,11,32,7,123,93,32,15,11,19,21,95,32
29701109,69,12,22,8,26,4,91,79,10,21,13,24,16,85,12
20000537,77,21,33,13,19,9,95,81,17,19,12,20,16,101,15
21600018,90,16,18,18,12,3,91,79,32,22,9,20,18,94,31
20100953,72,4,23,8,26,4,91,78,14,30,9,25,7,98,16
21600249,92,19,7,13,26,4,91,70,24,27,6,11,20,70,31
20500023,76,9,26,15,20,7,81,76,12,21,12,17,18,82,20
20300539,80,12,13,9,21,7,92,77,13,25,11,20,17,105,18
20900345,97,18,20,25,24,6,117,68,18,40,6,18,20,101,24
21000017,77,24,32,11,20,3,112,78,19,30,3,17,13,83,25
29300204,92,8,20,17,24,3,98,77,21,17,5,26,12,99,8
29600896,89,27,20,18,29,6,101,95,19,23,24,25,13,105,11
20500373,67,12,45,12,14,5,98,65,9,42,14,20,23,90,20
20500326,81,18,25,11,30,6,96,80,14,25,11,25,19,100,20
28500715,86,3,48,13,22,10,113,79,3,36,7,27,25,111,0
20600859,83,8,38,14,23,5,107,78,13,15,3,28,11,100,21
21500296,83,17,22,11,26,3,108,86,29,22,11,22,14,105,30
29300960,88,9,29,12,25,7,105,100,3,28,22,23,11,109,8
20200579,83,19,14,14,25,11,88,74,15,19,10,22,16,78,17
29600204,88,13,30,17,29,3,97,90,14,23,19,28,16,116,11
40700207,67,12,34,10,20,3,97,67,22,35,9,13,14,92,22
20400804,80,7,21,10,22,6,93,74,8,27,8,21,18,86,19
20100880,90,27,17,12,26,8,109,82,13,29,8,18,12,115,16
21000020,61,11,45,5,18,4,106,93,20,26,10,21,12,100,25
20400168,88,19,23,9,21,5,111,92,15,15,14,17,14,104,19
28901033,80,8,29,13,25,6,110,75,3,22,12,18,20,77,4
28700198,87,0,30,14,29,3,114,88,3,28,14,24,9,108,2
29100051,89,8,24,18,26,6,95,77,5,33,12,19,14,103,6
22200085,92,36,29,14,24,5,123,94,29,15,12,19,13,115,37
20700931,78,13,33,14,26,5,111,83,13,34,14,12,9,91,22
