fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
40,92,8,30,19,22,15,37,52,26,7,8,17,17,107,10,38,90,9,32,12,15,12,31,43,24,9,8,14,21,97,0,33
42,74,5,13,21,30,10,22,32,22,7,14,18,22,110,6,43,89,4,10,14,23,17,24,41,24,12,5,16,26,104,0,8
49,81,10,21,26,29,7,39,46,32,5,5,12,20,134,40,35,85,6,20,18,25,9,20,29,23,6,3,9,25,94,0,31
50,88,1,4,17,20,9,29,38,34,10,5,17,27,118,13,37,89,3,16,28,33,17,25,42,23,9,2,18,19,105,0,4
33,89,7,28,21,26,20,20,40,15,9,10,12,16,94,-14,41,78,13,21,13,18,14,28,42,26,7,6,16,23,108,0,26
31,76,10,28,24,30,11,36,47,20,5,3,15,20,96,-2,38,81,9,22,13,17,6,34,40,22,8,5,11,24,98,0,36
33,73,4,16,34,42,11,26,37,20,14,5,15,23,104,3,37,78,10,17,17,22,12,29,41,27,10,7,22,31,101,0,10
38,93,4,17,16,20,22,19,41,19,5,3,14,24,96,-11,39,75,2,9,27,34,14,25,39,16,5,3,15,25,107,0,7
36,80,9,18,21,23,14,25,39,23,9,7,11,15,102,13,36,79,6,12,11,18,15,27,42,16,3,2,15,23,89,0,25
41,82,3,9,21,27,11,36,47,35,6,2,8,29,106,10,31,77,6,17,28,37,10,26,36,16,4,3,11,19,96,0,15
32,81,5,25,17,18,5,33,38,14,2,5,17,18,86,-26,45,95,9,22,13,16,13,37,50,22,7,5,9,17,112,0,31
33,72,10,28,21,26,8,32,40,26,2,4,8,19,97,12,36,79,1,9,12,18,9,28,37,19,3,1,9,24,85,0,23
36,71,7,18,16,22,7,32,39,19,6,2,12,19,95,15,30,84,5,23,15,20,15,30,45,11,6,5,10,23,80,1,23
43,87,4,10,18,25,14,32,46,23,5,5,19,25,108,-4,43,98,3,8,23,31,17,27,44,25,7,1,9,21,112,0,7
31,71,4,10,20,32,9,29,38,18,10,5,24,24,86,-16,38,76,5,12,21,27,3,33,36,24,12,4,17,26,102,0,15
43,83,9,13,14,17,12,33,45,30,12,4,12,23,109,21,31,91,6,28,20,24,22,26,48,19,7,3,18,18,88,0,30
49,88,18,41,10,14,7,46,53,24,5,2,18,20,126,32,37,92,7,23,13,20,9,26,35,22,7,5,7,13,94,0,35
51,91,0,1,11,19,10,41,51,40,10,8,21,24,113,14,37,108,2,12,23,28,21,32,53,19,11,2,13,15,99,0,4
42,85,5,14,9,16,12,24,36,25,10,2,14,22,98,-1,37,68,6,11,19,27,8,31,39,21,9,3,18,17,99,0,12
